elapsed_s,prefill_replicas,prefill_ready,decode_replicas,decode_ready,decode-tokenaware_metric,prefill-tokenaware_metric
3027,1,1,3,2,1.957,380m
3044,1,1,3,2,1.997,2.944
3063,2,1,3,2,1.993,4.795
3081,2,1,3,2,1.987,6.694
3099,2,1,3,2,1.991,8.261
3117,2,1,3,2,1.996,2.944
3135,2,1,3,2,1.999,3.703
3153,2,1,3,2,2,7.549
3171,2,1,3,2,1.995,4.653
3189,2,1,3,2,1.995,6.125
3206,2,1,3,3,1.950,1.045
3224,2,1,3,3,2.036,1.045
3241,2,2,3,3,2.001,0
3259,2,2,3,3,2.119,0
3277,2,2,3,3,2.118,190m
3294,2,2,3,3,2.259,0
3312,2,2,3,3,2.294,190m
3329,2,2,3,3,2.648,0
3347,2,2,4,3,2.931,190m
3364,2,2,4,3,2.976,1.757
3382,2,2,4,3,2.931,760m
3400,2,2,4,3,2.931,760m
3417,2,2,4,3,2.874,1.139
3435,2,2,4,3,2.923,1.139
3453,2,2,4,3,2.954,1.139
3472,2,2,4,3,2.832,0
3489,2,2,4,3,2.461,0
3506,2,2,4,3,2.115,0
3525,2,2,4,3,2.138,0
3543,2,2,4,3,2.301,0
3560,2,2,4,4,2.421,0
3578,2,2,4,4,2.225,0
3595,2,2,4,4,1.469,0
3613,2,2,4,4,602m,0
3631,2,2,4,4,279m,0
3648,2,2,4,4,2m,0
3666,1,1,4,4,5m,0
3683,1,1,4,4,93m,0
3701,1,1,4,4,126m,0
3718,1,1,4,4,225m,0
3736,1,1,4,4,352m,0
3754,1,1,4,4,398m,0
3771,1,1,4,4,533m,0
3789,1,1,4,4,537m,0
3806,1,1,4,4,370m,0
3824,1,1,4,4,448m,0
3841,1,1,4,4,482m,0
3859,1,1,4,4,547m,0
3876,1,1,3,3,583m,0
3894,1,1,3,3,429m,0
3911,1,1,3,3,484m,0
3929,1,1,3,3,636m,0
3946,1,1,3,3,695m,0
3964,1,1,3,3,714m,0
3981,1,1,3,3,671m,0
4000,1,1,3,3,671m,0
4017,1,1,3,3,762m,0
4035,1,1,3,3,731m,0
4053,1,1,3,3,740m,0
4070,1,1,3,3,624m,0
4088,1,1,3,3,579m,0
4105,1,1,3,3,572m,0
4123,1,1,3,3,524m,0
4140,1,1,3,3,527m,0
4158,1,1,3,3,392m,0
4176,1,1,2,2,331m,0
4193,1,1,2,2,0,0
4211,1,1,2,2,0,0
4229,1,1,2,2,2m,0
4247,1,1,2,2,8m,0
4264,1,1,2,2,19m,0
4282,1,1,2,2,43m,0
4299,1,1,2,2,43m,0
4317,1,1,2,2,97m,0
4334,1,1,2,2,138m,0
4352,1,1,2,2,151m,0
4370,1,1,2,2,168m,0
4387,1,1,2,2,181m,0
4405,1,1,2,2,224m,0
4422,1,1,2,2,220m,0
4440,1,1,2,2,217m,0
4458,1,1,2,2,188m,0
4475,1,1,1,1,199m,0
4493,1,1,1,1,116m,0
4511,1,1,1,1,139m,0
4528,1,1,1,1,111m,0
4546,1,1,1,1,111m,0
4563,1,1,1,1,117m,0
4581,1,1,1,1,117m,0
4598,1,1,1,1,124m,190m
4616,1,1,1,1,133m,0
4633,1,1,1,1,105m,0
4651,1,1,1,1,162m,0
4668,1,1,1,1,162m,0
4686,1,1,1,1,153m,0
4703,1,1,1,1,139m,0
4721,1,1,1,1,118m,0
4739,1,1,1,1,173m,0
4757,1,1,1,1,173m,0
4774,1,1,1,1,208m,0
4792,1,1,1,1,194m,0
4810,1,1,1,1,194m,0
4827,1,1,1,1,254m,0
4845,1,1,1,1,254m,0
4862,1,1,1,1,211m,0
4881,1,1,1,1,211m,0
4899,1,1,1,1,160m,0
4917,1,1,1,1,182m,142m
4934,1,1,1,1,182m,0
4953,1,1,1,1,189m,0
4971,1,1,1,1,189m,0
4988,1,1,1,1,190m,0
5006,1,1,1,1,213m,0
5023,1,1,1,1,213m,0
