epoch,iso,prefill_desired,prefill_ready,decode_desired,decode_ready,prefill_active,decode_active
1787254646,19:37:26,4,4,1,1,False,True
1787254663,19:37:43,4,4,1,1,False,True
1787254680,19:38:00,4,4,1,1,False,False
1787254697,19:38:17,4,4,1,1,False,False
1787254713,19:38:33,4,4,1,1,False,False
1787254730,19:38:50,4,4,1,1,False,False
1787254746,19:39:06,4,4,1,1,False,False
1787254763,19:39:23,4,4,1,1,False,False
1787254779,19:39:39,4,4,1,1,False,False
1787254796,19:39:56,4,4,1,1,False,False
1787254813,19:40:13,4,4,1,1,False,False
1787254829,19:40:29,4,4,1,1,False,False
1787254846,19:40:46,4,4,1,1,False,False
1787254863,19:41:03,4,4,1,1,False,False
1787254880,19:41:20,4,4,1,1,False,False
1787254896,19:41:36,4,4,1,1,False,False
1787254913,19:41:53,4,4,1,1,False,False
1787254930,19:42:10,4,4,1,1,False,False
1787254946,19:42:26,3,3,1,1,False,False
1787254963,19:42:43,3,3,1,1,False,False
1787254979,19:42:59,3,3,1,1,False,False
1787254996,19:43:16,3,3,1,1,False,False
1787255013,19:43:33,3,3,1,1,False,False
1787255030,19:43:50,3,3,1,1,False,False
1787255047,19:44:07,3,3,1,1,False,False
1787255064,19:44:24,3,3,1,1,False,False
1787255080,19:44:40,3,3,1,1,False,False
1787255097,19:44:57,3,3,1,1,False,False
1787255114,19:45:14,3,3,1,1,False,False
1787255130,19:45:30,3,3,1,1,False,False
1787255147,19:45:47,3,3,1,1,False,False
1787255163,19:46:03,3,3,1,1,False,False
1787255180,19:46:20,3,3,1,1,False,False
1787255197,19:46:37,3,3,1,1,False,False
1787255214,19:46:54,3,3,1,1,False,False
1787255231,19:47:11,3,3,1,1,False,False
1787255248,19:47:28,2,2,1,1,False,False
1787255264,19:47:44,2,2,1,1,False,False
1787255281,19:48:01,2,2,1,1,False,False
1787255298,19:48:18,2,2,1,1,False,False
1787255314,19:48:34,2,2,1,1,False,False
