elapsed_s,prefill_replicas,prefill_ready,decode_replicas,decode_ready,decode-tokenaware_metric,prefill-tokenaware_metric
1803,3,3,1,1,144m,0
1821,3,3,1,1,48m,0
1839,3,3,1,1,97m,3.602
1856,3,3,1,1,257m,0
1874,3,3,1,1,521m,0
1892,3,3,1,1,550m,1.201
1910,3,3,1,1,530m,6.004
1929,4,3,1,1,692m,4.755
1947,4,3,1,1,775m,2.402
1964,4,3,1,1,804m,0
1983,4,3,1,1,689m,2.402
2004,4,3,1,1,648m,0
2025,4,3,1,1,692m,2.353
2046,4,3,1,1,741m,3.602
2066,4,3,1,1,752m,3.602
2087,4,3,1,1,861m,1.201
2107,4,3,1,1,840m,1.201
2127,4,3,1,1,789m,3.602
2147,4,3,1,1,682m,1.201
2167,4,3,1,1,844m,0
2186,4,3,1,1,820m,10.759
2205,4,3,1,1,763m,1.201
2225,4,3,1,1,696m,1.201
2243,4,3,1,1,703m,4.851
2262,4,3,1,1,750m,0
2281,4,3,1,1,750m,1.249
2299,4,3,1,1,729m,9.558
2317,4,4,1,1,736m,8.453
2335,4,4,1,1,724m,3.554
2353,4,4,1,1,880m,4.803
2370,4,4,2,1,880m,7.205
2388,4,4,2,1,966m,4.755
2405,4,4,2,1,994m,2.402
2423,4,4,2,1,956m,3.602
2441,4,4,2,1,852m,0
2459,4,4,2,1,637m,0
2477,4,4,2,1,19m,0
2496,4,4,2,1,125m,0
2515,4,4,2,1,199m,3.602
2534,4,4,2,1,199m,1.201
2553,4,4,2,1,287m,2.402
2571,4,4,2,1,276m,0
2588,4,4,2,1,235m,3.554
2606,4,4,2,2,235m,1.201
2624,4,4,2,2,319m,3.602
2641,4,4,2,2,295m,0
2660,4,4,2,2,272m,1.249
2677,4,4,2,2,289m,1.201
2695,4,4,2,2,242m,0
2713,3,3,2,2,288m,0
2730,3,3,2,2,262m,1.201
2748,3,3,1,1,67m,1.201
2765,3,3,1,1,193m,1.201
2783,3,3,1,1,240m,0
2800,3,3,1,1,240m,0
2818,3,3,1,1,12m,0
2835,3,3,1,1,40m,0
2853,3,3,1,1,79m,0
2870,3,3,1,1,101m,0
2888,3,3,1,1,45m,0
2905,3,3,1,1,55m,1.201
2923,3,3,1,1,113m,1.153
2941,3,3,1,1,113m,0
2958,3,3,1,1,104m,1.153
2975,3,3,1,1,58m,0
2993,3,3,1,1,60m,0
3010,2,2,1,1,72m,0
3028,2,2,1,1,91m,0
3045,2,2,1,1,98m,0
3063,2,2,1,1,124m,0
3080,2,2,1,1,107m,0
3097,2,2,1,1,82m,0
3115,2,2,1,1,90m,0
3133,2,2,1,1,37m,0
3150,2,2,1,1,37m,0
3168,2,2,1,1,34m,0
3185,2,2,1,1,80m,1.201
3203,2,2,1,1,109m,0
3220,2,2,1,1,51m,1.201
3238,2,2,1,1,72m,0
3256,2,2,1,1,62m,1.201
3273,2,2,1,1,39m,0
3291,2,2,1,1,46m,0
3308,2,2,1,1,74m,0
3326,2,2,1,1,85m,1.201
3344,2,2,1,1,87m,0
3361,2,2,1,1,95m,0
3379,2,2,1,1,103m,1.201
3396,2,2,1,1,107m,0
3414,2,2,1,1,77m,0
3431,2,2,1,1,33m,0
3449,2,2,1,1,68m,0
3467,2,2,1,1,59m,0
3484,1,1,1,1,91m,2.450
3502,1,1,1,1,79m,0
3519,1,1,1,1,34m,1.201
3537,1,1,1,1,67m,0
3555,1,1,1,1,27m,0
3574,1,1,1,1,59m,0
3591,1,1,1,1,75m,0
3609,1,1,1,1,56m,0
3626,1,1,1,1,50m,1.201
3644,1,1,1,1,86m,0
3661,1,1,1,1,75m,1.201
3679,2,1,1,1,106m,0
3696,2,1,1,1,101m,0
3714,2,1,1,1,43m,0
3732,2,1,1,1,41m,0
3749,2,1,1,1,24m,0
3767,2,1,1,1,0,0
3785,2,1,1,1,0,0
3803,2,1,1,1,0,0
3822,2,1,1,1,0,0
3843,2,1,1,1,0,0
3862,2,1,1,1,0,0
3880,2,1,1,1,0,0
3898,2,1,1,1,0,0
3915,2,1,1,1,0,0
3933,2,1,1,1,0,0
3950,2,1,1,1,0,0
3968,2,1,1,1,0,0
3985,1,1,1,1,0,0
4004,1,1,1,1,0,0
4021,1,1,1,1,0,0
4039,1,1,1,1,0,0
4056,1,1,1,1,0,0
4074,1,1,1,1,0,0
4093,1,1,1,1,0,0
4111,1,1,1,1,0,0
4129,1,1,1,1,0,0
4147,1,1,1,1,0,0
4165,1,1,1,1,0,0
4183,1,1,1,1,0,0
4205,1,1,1,1,0,0
4226,1,1,1,1,0,0
4246,1,1,1,1,0,0
4268,1,1,1,1,0,0
4288,1,1,1,1,0,0
4307,1,1,1,1,0,0
4326,1,1,1,1,0,0
