elapsed_s,prefill_replicas,prefill_ready,decode_replicas,decode_ready,decode-tokenaware_metric,prefill-tokenaware_metric
2,1,1,1,1,0,0
20,1,1,1,1,0,0
37,1,1,1,1,0,0
55,1,1,1,1,0,0
72,1,1,1,1,74m,0
90,1,1,1,1,74m,0
108,1,1,1,1,74m,0
125,1,1,1,1,60m,0
143,1,1,1,1,70m,0
160,1,1,1,1,29m,0
178,1,1,1,1,31m,0
196,1,1,1,1,96m,0
215,1,1,1,1,89m,0
233,1,1,1,1,57m,0
251,1,1,1,1,93m,0
269,1,1,1,1,81m,0
287,1,1,1,1,95m,0
306,1,1,1,1,105m,0
324,1,1,1,1,109m,0
343,1,1,1,1,99m,0
363,1,1,1,1,67m,0
384,1,1,1,1,0,1.201
402,1,1,1,1,111m,0
421,1,1,1,1,152m,0
440,1,1,1,1,159m,0
459,1,1,1,1,155m,0
477,1,1,1,1,155m,0
496,1,1,1,1,117m,0
516,1,1,1,1,98m,0
535,1,1,1,1,98m,0
553,1,1,1,1,134m,0
572,1,1,1,1,192m,1.201
591,1,1,1,1,125m,0
611,1,1,1,1,168m,0
630,1,1,1,1,219m,1.201
649,1,1,1,1,182m,1.201
667,1,1,1,1,187m,0
686,1,1,1,1,230m,0
704,1,1,1,1,83m,0
722,1,1,1,1,62m,0
740,1,1,1,1,130m,0
758,1,1,1,1,242m,0
776,2,1,1,1,278m,3.602
793,2,1,1,1,316m,0
811,2,1,1,1,267m,1.249
829,2,1,1,1,313m,2.402
847,2,1,1,1,294m,0
865,2,1,1,1,231m,1.201
886,2,1,1,1,256m,6.004
905,2,1,1,1,274m,0
924,2,1,1,1,276m,3.554
943,2,1,1,1,379m,0
960,2,1,1,1,379m,1.201
978,2,1,1,1,254m,0
995,2,1,1,1,213m,0
1013,2,1,1,1,261m,0
1031,2,1,1,1,274m,0
1048,2,1,1,1,214m,0
1066,2,1,1,1,292m,1.201
1083,2,2,1,1,371m,0
1101,2,2,1,1,344m,0
1118,2,2,1,1,302m,0
1136,2,2,1,1,210m,1.201
1154,2,2,1,1,101m,0
1171,2,2,1,1,20m,0
1189,2,2,1,1,94m,1.201
1207,2,2,1,1,201m,0
1224,1,1,1,1,251m,1.201
1242,1,1,1,1,379m,1.201
1259,1,1,1,1,398m,1.201
1277,1,1,1,1,330m,8.309
1296,1,1,1,1,468m,1.201
1313,3,1,1,1,417m,3.554
1331,3,1,1,1,401m,4.803
1349,3,1,1,1,448m,1.201
1366,3,1,1,1,484m,1.201
1385,3,1,1,1,404m,0
1406,3,1,1,1,449m,0
1426,3,1,1,1,434m,2.305
1446,3,1,1,1,396m,0
1465,3,1,1,1,364m,1.201
1485,3,1,1,1,329m,0
1503,3,1,1,1,415m,6.004
1520,3,1,1,1,336m,2.402
1538,3,1,1,1,375m,4.755
1555,3,1,1,1,389m,0
1573,3,1,1,1,490m,2.402
1590,3,1,1,1,490m,0
1608,3,3,1,1,415m,1.201
1625,3,3,1,1,420m,1.201
1643,3,3,1,1,400m,0
1660,3,3,1,1,431m,2.402
1678,3,3,1,1,439m,1.201
1695,3,3,1,1,473m,1.201
1713,3,3,1,1,437m,2.402
1730,3,3,1,1,374m,0
1748,3,3,1,1,354m,0
1766,3,3,1,1,373m,9.702
1785,3,3,1,1,325m,4.803
