elapsed_s,prefill_replicas,prefill_ready,decode_replicas,decode_ready,decode-tokenaware_metric,prefill-tokenaware_metric
3374,2,2,1,1,71m,0
3390,2,2,1,1,71m,0
3406,1,1,1,1,62m,1.187
3422,1,1,1,1,62m,0
3438,1,1,1,1,100m,0
3454,1,1,1,1,119m,1.187
3470,1,1,1,1,88m,0
3487,1,1,1,1,99m,0
3503,1,1,1,1,73m,1.187
3519,1,1,1,1,69m,0
3535,1,1,1,1,59m,0
3551,1,1,1,1,21m,0
3567,1,1,1,1,21m,0
3584,1,1,1,1,61m,0
3600,1,1,1,1,61m,0
3616,1,1,1,1,39m,0
3632,1,1,1,1,39m,0
3648,1,1,1,1,81m,0
3664,1,1,1,1,109m,0
3680,1,1,1,1,109m,0
3696,1,1,1,1,87m,1.187
3712,1,1,1,1,87m,0
3728,1,1,1,1,0,0
3744,1,1,1,1,0,0
3761,1,1,1,1,0,0
3777,1,1,1,1,0,0
3793,1,1,1,1,0,0
3809,1,1,1,1,0,0
3825,1,1,1,1,0,0
3841,1,1,1,1,0,0
3857,1,1,1,1,0,0
3873,1,1,1,1,0,0
3890,1,1,1,1,0,0
3906,1,1,1,1,0,0
3922,1,1,1,1,0,0
3938,1,1,1,1,0,0
3954,1,1,1,1,0,0
3970,1,1,1,1,0,0
3986,1,1,1,1,0,0
4002,1,1,1,1,0,0
4018,1,1,1,1,0,0
4034,1,1,1,1,0,0
4050,1,1,1,1,0,0
4066,1,1,1,1,0,0
4082,1,1,1,1,0,0
4099,1,1,1,1,0,0
4116,1,1,1,1,0,0
